name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,lon,lat
FES_Battery_Elstree_2035_131,Z14,PQ,,27.058,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,27.058,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Norwich_Main_2035_132,Z12,PQ,,159.09,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,159.09,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.4507,52.254
FES_Battery_Pelham_2035_133,Z12,PQ,,105.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,105.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.4507,52.254
FES_Battery_Rayleigh_2035_134,Z15,PQ,,432.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,432.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.826,51.312
FES_Battery_Rye_House_2035_135,Z14,PQ,,5.058,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,5.058,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Sundon_2035_136,Z14,PQ,,68.05,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,68.05,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Tilbury_2035_137,Z15,PQ,,76.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,76.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.826,51.312
FES_Battery_Tottenham_2035_138,Z14,PQ,,5.2,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,5.2,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Walpole__A_2035_139,Z12,PQ,,59.49,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,59.49,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.4507,52.254
FES_Battery_Warley_2035_140,Z14,PQ,,50.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,50.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
